IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.9.174,8880,8880,false,LAX,North America,Los Angeles,176,4.30
47.245.62.84,2087,2087,true,LAX,North America,Los Angeles,277,4.30
47.91.22.115,2096,2096,true,NRT,Asia Pacific,Tokyo,89,4.30
8.218.2.181,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,4.29
47.245.42.162,8443,8443,true,LAX,North America,Los Angeles,203,4.29
47.74.45.143,8080,8080,false,LAX,North America,Los Angeles,171,4.29
8.217.149.28,8443,8443,true,HKG,Asia Pacific,Hong Kong,71,4.29
8.219.247.203,2095,2095,false,SIN,Asia Pacific,Singapore,26,4.29
8.210.65.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,4.29
47.74.13.66,2086,2086,false,KIX,Asia Pacific,Osaka,80,4.29
47.236.12.73,2052,2052,false,SIN,Asia Pacific,Singapore,23,4.29
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,87,4.28
8.222.136.196,2087,2087,true,SIN,Asia Pacific,Singapore,87,4.28
8.222.240.47,2082,2082,false,SIN,Asia Pacific,Singapore,17,4.28
47.74.52.104,8080,8080,false,LAX,North America,Los Angeles,187,4.28
8.210.101.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,4.27
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,72,4.27
8.217.147.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,4.27
8.209.214.157,8443,8443,true,NRT,Asia Pacific,Tokyo,76,4.27
47.74.49.62,2086,2086,false,LAX,North America,Los Angeles,173,4.27
47.243.161.235,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,4.27
47.245.53.50,2053,2053,true,LAX,North America,Los Angeles,270,4.27
47.74.46.84,2083,2083,true,LAX,North America,Los Angeles,315,4.27
8.222.229.22,2052,2052,false,SIN,Asia Pacific,Singapore,3,4.27
8.210.39.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,4.26
47.242.176.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,4.26
8.219.61.52,2095,2095,false,SIN,Asia Pacific,Singapore,10,4.26
8.218.3.12,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,4.26
8.210.39.96,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,4.26
47.74.26.196,80,80,false,HKG,Asia Pacific,Hong Kong,165,4.26
47.74.40.13,2052,2052,false,NRT,Asia Pacific,Tokyo,93,4.26
47.74.10.135,2053,2053,true,LAX,North America,Los Angeles,188,4.25
8.222.237.131,8443,8443,true,SIN,Asia Pacific,Singapore,112,4.25
8.219.84.214,8443,8443,true,SIN,Asia Pacific,Singapore,67,4.25
8.217.207.60,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,4.25
47.74.26.132,2087,2087,true,LAX,North America,Los Angeles,223,4.25
47.74.22.171,2053,2053,true,LAX,North America,Los Angeles,277,4.25
47.91.31.231,2087,2087,true,LAX,North America,Los Angeles,209,4.25
47.242.202.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,4.24
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,4.24
8.219.249.148,2096,2096,true,SIN,Asia Pacific,Singapore,102,4.23
47.236.19.51,2052,2052,false,SIN,Asia Pacific,Singapore,243,4.23
47.91.18.207,8880,8880,false,NRT,Asia Pacific,Tokyo,78,4.23
47.74.45.143,2082,2082,false,LAX,North America,Los Angeles,169,4.23
8.210.107.246,443,443,true,HKG,Asia Pacific,Hong Kong,47,4.23
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,97,4.23
8.222.128.131,8443,8443,true,SIN,Asia Pacific,Singapore,74,4.22
47.242.155.183,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,4.22
8.217.207.60,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,4.22
8.219.53.142,2086,2086,false,SIN,Asia Pacific,Singapore,8,4.22
8.219.56.205,8080,8080,false,SIN,Asia Pacific,Singapore,17,4.22
8.219.240.141,80,80,false,SIN,Asia Pacific,Singapore,545,4.22
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,4.22
47.74.5.99,2096,2096,true,LAX,North America,Los Angeles,241,4.21
47.74.40.13,2086,2086,false,NRT,Asia Pacific,Tokyo,68,4.21
47.74.35.110,2053,2053,true,LAX,North America,Los Angeles,225,4.21
47.74.5.99,8443,8443,true,LAX,North America,Los Angeles,278,4.21
47.236.169.15,2053,2053,true,SIN,Asia Pacific,Singapore,77,4.21
47.91.3.135,2083,2083,true,LAX,North America,Los Angeles,195,4.20
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,15,4.20
47.242.171.94,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,4.20
47.243.70.197,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,4.20
47.74.18.121,8443,8443,true,LAX,North America,Los Angeles,250,4.20
47.91.22.115,2083,2083,true,NRT,Asia Pacific,Tokyo,87,4.20
8.219.194.170,8443,8443,true,SIN,Asia Pacific,Singapore,133,4.20
47.250.146.18,80,443,true,SIN,Asia Pacific,Singapore,60,4.20
47.74.15.117,2087,2087,true,KIX,Asia Pacific,Osaka,118,4.20
8.209.255.195,2096,2096,true,HKG,Asia Pacific,Hong Kong,165,4.20
8.222.252.150,2083,2083,true,SIN,Asia Pacific,Singapore,85,4.20
47.76.37.57,80,80,false,HKG,Asia Pacific,Hong Kong,57,4.19
8.219.115.215,2053,2053,true,SIN,Asia Pacific,Singapore,138,4.19
47.91.21.149,2082,2082,false,LAX,North America,Los Angeles,209,4.19
8.210.156.6,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,4.19
47.243.161.235,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,4.19
47.242.196.48,443,443,true,HKG,Asia Pacific,Hong Kong,42,4.19
8.222.221.197,2083,2083,true,SIN,Asia Pacific,Singapore,25,4.18
8.210.156.6,80,80,false,HKG,Asia Pacific,Hong Kong,58,4.18
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,52,4.18
47.74.39.194,2096,2096,true,LAX,North America,Los Angeles,254,4.18
8.210.65.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,4.18
8.209.252.13,2053,2053,true,LAX,North America,Los Angeles,187,4.18
47.245.52.165,2087,2087,true,LAX,North America,Los Angeles,240,4.18
47.91.16.214,8443,8443,true,LAX,North America,Los Angeles,197,4.18
8.217.83.140,2096,2053,true,HKG,Asia Pacific,Hong Kong,72,4.17
8.209.214.222,2096,2096,true,LAX,North America,Los Angeles,212,4.17
8.217.221.165,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,4.17
8.222.252.150,2096,2096,true,SIN,Asia Pacific,Singapore,99,4.17
47.74.15.117,2082,2082,false,LAX,North America,Los Angeles,174,4.17
47.74.41.136,2052,2052,false,NRT,Asia Pacific,Tokyo,81,4.16
8.222.144.219,80,80,false,SIN,Asia Pacific,Singapore,7,4.16
47.74.48.178,2052,2052,false,LAX,North America,Los Angeles,193,4.16
8.219.251.81,8443,8443,true,SIN,Asia Pacific,Singapore,90,4.16
47.243.161.235,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,4.16
47.243.173.187,8880,8880,false,HKG,Asia Pacific,Hong Kong,49,4.16
47.245.14.216,2083,2083,true,LAX,North America,Los Angeles,218,4.15
47.74.34.38,2082,2082,false,NRT,Asia Pacific,Tokyo,78,4.15
8.222.152.165,2053,2053,true,SIN,Asia Pacific,Singapore,140,4.15
8.219.220.88,2082,2082,false,SIN,Asia Pacific,Singapore,118,4.15
47.76.33.40,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,4.14
47.74.52.104,2052,2052,false,KIX,Asia Pacific,Osaka,94,4.14
47.74.5.99,2087,2087,true,LAX,North America,Los Angeles,288,4.14
47.74.18.121,2083,2083,true,LAX,North America,Los Angeles,308,4.14
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,51,4.14
8.219.58.64,8880,8880,false,SIN,Asia Pacific,Singapore,15,4.14
47.74.18.121,2096,2096,true,LAX,North America,Los Angeles,293,4.14
8.219.222.8,2053,2053,true,SIN,Asia Pacific,Singapore,97,4.14
8.222.150.197,80,80,false,SIN,Asia Pacific,Singapore,10,4.14
8.219.60.68,2053,2053,true,SIN,Asia Pacific,Singapore,68,4.13
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,4.13
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,4.13
47.74.34.38,80,80,false,NRT,Asia Pacific,Tokyo,85,4.13
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,5,4.12
8.219.66.156,8080,8080,false,LAX,North America,Los Angeles,208,4.12
47.245.54.140,2096,2096,true,NRT,Asia Pacific,Tokyo,75,4.12
47.74.27.94,8080,8080,false,LAX,North America,Los Angeles,179,4.12
47.91.21.127,2082,2082,false,NRT,Asia Pacific,Tokyo,78,4.11
8.222.255.15,80,80,false,SIN,Asia Pacific,Singapore,7,4.11
47.74.16.67,2087,2087,true,LAX,North America,Los Angeles,210,4.11
8.222.198.105,8080,8080,false,SIN,Asia Pacific,Singapore,5,4.11
8.222.136.196,80,80,false,SIN,Asia Pacific,Singapore,10,4.11
47.74.50.249,2087,2087,true,LAX,North America,Los Angeles,249,4.11
47.74.52.104,8080,8080,false,KIX,Asia Pacific,Osaka,87,4.11
47.74.41.234,2052,2052,false,LAX,North America,Los Angeles,185,4.11
47.243.161.235,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,4.10
47.76.32.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,63,4.10
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,78,4.10
47.245.54.58,2083,2083,true,NRT,Asia Pacific,Tokyo,216,4.10
47.243.230.93,2053,443,true,HKG,Asia Pacific,Hong Kong,88,4.10
47.74.5.99,80,80,false,LAX,North America,Los Angeles,179,4.10
8.210.9.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,34,4.10
8.219.65.191,2096,2096,true,SIN,Asia Pacific,Singapore,42,4.10
47.74.36.154,2095,2095,false,KIX,Asia Pacific,Osaka,78,4.10
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,4.09
47.245.57.38,2087,2087,true,HKG,Asia Pacific,Hong Kong,234,4.09
8.222.221.90,2083,2083,true,SIN,Asia Pacific,Singapore,67,4.09
8.219.206.180,8880,8880,false,SIN,Asia Pacific,Singapore,11,4.09
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,4.09
47.76.80.72,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,4.09
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,87,4.08
8.222.138.164,2096,2096,true,SIN,Asia Pacific,Singapore,81,4.08
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,4.08
47.243.70.197,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,4.08
47.242.234.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,52,4.08
47.74.11.251,2053,2053,true,KIX,Asia Pacific,Osaka,227,4.08
47.74.49.72,8080,8080,false,LAX,North America,Los Angeles,183,4.08
47.91.21.149,2052,2052,false,LAX,North America,Los Angeles,179,4.08
8.210.151.69,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,4.07
8.219.228.193,2053,2053,true,SIN,Asia Pacific,Singapore,128,4.07
8.222.164.44,2086,2086,false,SIN,Asia Pacific,Singapore,25,4.07
47.74.39.194,80,80,false,LAX,North America,Los Angeles,206,4.06
8.218.11.90,2096,2096,true,HKG,Asia Pacific,Hong Kong,75,4.06
8.219.186.189,2082,2082,false,SIN,Asia Pacific,Singapore,31,4.06
8.219.53.142,2052,2052,false,SIN,Asia Pacific,Singapore,42,4.06
8.222.184.198,2096,2096,true,SIN,Asia Pacific,Singapore,67,4.06
8.222.137.166,2082,2082,false,SIN,Asia Pacific,Singapore,4,4.05
47.74.42.17,8443,8443,true,LAX,North America,Los Angeles,255,4.05
8.210.117.18,2095,2095,false,HKG,Asia Pacific,Hong Kong,69,4.05
47.74.41.234,8443,8443,true,LAX,North America,Los Angeles,367,4.05
47.74.6.16,80,80,false,LAX,North America,Los Angeles,182,4.05
8.217.164.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,63,4.05
47.74.52.188,80,80,false,LAX,North America,Los Angeles,190,4.05
8.222.128.131,2096,2096,true,SIN,Asia Pacific,Singapore,57,4.05
8.222.224.162,8080,8080,false,SIN,Asia Pacific,Singapore,31,4.05
47.245.62.84,2096,2096,true,LAX,North America,Los Angeles,283,4.05
47.91.3.87,2087,2087,true,NRT,Asia Pacific,Tokyo,75,4.05
47.243.70.197,2087,2087,true,HKG,Asia Pacific,Hong Kong,87,4.05
8.222.153.11,2082,2082,false,LAX,North America,Los Angeles,186,4.04
47.236.23.135,2083,2083,true,SIN,Asia Pacific,Singapore,92,4.04
8.209.243.172,2083,2083,true,LAX,North America,Los Angeles,217,4.04
47.91.22.115,2053,2053,true,NRT,Asia Pacific,Tokyo,105,4.04
8.217.159.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,35,4.04
8.219.253.114,2096,2096,true,SIN,Asia Pacific,Singapore,103,4.03
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,27,4.03
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,4.03
8.219.222.8,2083,2083,true,SIN,Asia Pacific,Singapore,140,4.03
8.210.119.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,4.03
8.219.153.237,80,80,false,LAX,North America,Los Angeles,178,4.02
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,82,4.02
47.242.171.94,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,4.02
8.222.160.61,2082,2082,false,SIN,Asia Pacific,Singapore,5,4.02
47.74.54.33,2095,2095,false,LAX,North America,Los Angeles,186,4.02
8.222.134.170,8443,8443,true,SIN,Asia Pacific,Singapore,157,4.01
47.74.54.145,8080,8080,false,NRT,Asia Pacific,Tokyo,76,4.01
8.217.250.222,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,4.01
47.74.54.33,2053,2053,true,LAX,North America,Los Angeles,254,4.01
8.210.101.157,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,4.01
47.91.18.207,2095,2095,false,NRT,Asia Pacific,Tokyo,86,4.01
